time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-06-06 00:00:00+00:00,21,18,94,31
2022-06-07 00:00:00+00:00,12,11,80,33
2022-06-08 00:00:00+00:00,28,22,116,35
2022-06-09 00:00:00+00:00,11,10,55,33
2022-06-10 00:00:00+00:00,9,8,56,23
2022-06-11 00:00:00+00:00,13,12,103,23
2022-06-12 00:00:00+00:00,16,14,93,32
2022-06-13 00:00:00+00:00,17,15,86,35
2022-06-14 00:00:00+00:00,23,20,71,34
2022-06-15 00:00:00+00:00,11,11,84,35
2022-06-16 00:00:00+00:00,4,4,57,22
2022-06-17 00:00:00+00:00,13,13,93,29
2022-06-18 00:00:00+00:00,14,11,50,29
2022-06-19 00:00:00+00:00,11,9,79,28
